# 🤖 retrieval audit; collection placement completed 2026-07-26 PDT
id	action	retrieval_url	status	bytes	pdf_sha256	note
time_horizons	downloaded_via_personal_chrome_cdp	https://arxiv.org/pdf/2503.14499	success	6195770	29216eb3af4daa417666757a462ab7c7b5f8c18c188ee5a56e258b04116211f7	canonical NeurIPS status checked separately
tau_bench	downloaded_via_personal_chrome_cdp	https://openreview.net/pdf?id=roNSXZpUDN	success	519645	e2d45d573e1fce753ead1a44cc468ad386dd384e2668450d0a9c0e2c7920ada0	accepted OpenReview record
ultrahorizon	downloaded_via_personal_chrome_cdp	https://openreview.net/pdf?id=qRNtMWrTvo	success	5071581	44c1b925ff4528f5a3f58c307519a192bf45954e7b7fa2a6ad0fa12510fc174f	accepted ICML version
agentcompany	downloaded_via_personal_chrome_cdp	https://arxiv.org/pdf/2412.14161	success	2169754	9574c7c5d4f1592dd1a0c9615cb3c2f8bd130f18b2c2cde4d0bbace4e80ef620	canonical NeurIPS status checked separately
swe_agent	downloaded_via_personal_chrome_cdp	https://proceedings.neurips.cc/paper_files/paper/2024/file/5a7c947568c1b1328ccc5230172e1e7c-Paper-Conference.pdf	success	4411168	0116614120ddfaa37e7c944b7205b4f05523a2415e11846081c08dd0d848ea05	official proceedings PDF
swe_bench_pro	downloaded_via_personal_chrome_cdp	https://openreview.net/pdf?id=uEVTdoAbnK	success	694559	4a658f1b9193cd02494164cc6574cfe1869bb82fbdab861ff74cadd3bbc3ade8	accepted ICML version
swe_lancer	downloaded_via_personal_chrome_cdp	https://raw.githubusercontent.com/mlresearch/v267/main/assets/miserendino25a/miserendino25a.pdf	success	3321098	54edda990a407f1fe1e945018f1c2710d469e55077a0272d313b33da11cb65f9	official PMLR asset; HTML capture hit Unicode serialization bug
utboost	reused_existing_collection	https://aclanthology.org/2025.acl-long.189.pdf	verified	444236	bfa10815a18a15d970f7c9fd1c66e8ece2c938cb2b3cb107ab452b8400e54fa7	existing PDF and extraction reused unchanged
osworld	downloaded_via_personal_chrome_cdp	https://proceedings.neurips.cc/paper_files/paper/2024/file/5d413e48f84dc61244b6be550f1cd8f5-Paper-Datasets_and_Benchmarks_Track.pdf	success	36705248	cabfb4bd4f45440946e7f1fbabe9a8c1751c9d17f62ec24101e62b8adf49f33f	official proceedings PDF
workarena	reused_existing_collection	https://raw.githubusercontent.com/mlresearch/v235/main/assets/drouin24a/drouin24a.pdf	verified	6971084	0d3ab9c89e9a6f6227afcf4db2bbb5950847316aff9ce7d0e68608638a3b61a2	existing PDF and extraction reused unchanged
webrl	reused_existing_collection	https://openreview.net/pdf?id=oVKEAFjEqv	verified	9859226	28258e09a8c4c04a1c4b2a042001705071b71e66b6a91d395f89d4969a812e13	existing PDF and extraction reused unchanged
browsecomp	reused_existing_collection	http://cdn.openai.com/pdf/5e10f4ab-d6f7-442e-9508-59515c65e35d/browsecomp.pdf	verified	335891	1bd473341db82cb66ad7cdff3ee911f9d157c083bad08d33440fa7244a4b1916	existing PDF reused; extraction added in this stage
paperbench	downloaded_via_personal_chrome_cdp	https://raw.githubusercontent.com/mlresearch/v267/main/assets/starace25a/starace25a.pdf	success	1591351	4115ec4e330474765c65438b7b17357eef840c37b859ce0e44cd2c0e14912a76	official PMLR asset
rebench	downloaded_via_personal_chrome_cdp	https://raw.githubusercontent.com/mlresearch/v267/main/assets/wijk25a/wijk25a.pdf	success	13952284	0208b92fe358754e6e245a2596d468961dba3fce9455da3f899e71f061af3df6	official PMLR asset
scienceagentbench	downloaded_via_personal_chrome_cdp	https://openreview.net/pdf?id=6z4YKr0GK6	success	2011302	da5b44b1d7ff4992127ce32daf5343031a109b7104d743bb18f0803fc904da7b	accepted OpenReview record
mle_bench	downloaded_via_personal_chrome_cdp	https://arxiv.org/pdf/2410.07095	success	817725	1dab9a33edeab25ea359c4d6857d03512ccd47ed5782631031cfe8dcbebe7988	canonical ICLR oral status checked separately
memoryagentbench	downloaded_via_personal_chrome_cdp	https://openreview.net/pdf?id=DT7JyQC3MR	success	1895106	04bcddc5f46273c8a8e1887b91dc4949cf9ee12fdb6995149445b794ba35a630	accepted OpenReview record
multiagentbench	downloaded_via_personal_chrome_cdp	https://aclanthology.org/2025.acl-long.421.pdf	success	2487425	035f673b459aecad0b7fa0fdac21dd9585f644cb29fba45f4ecbceef28f81eb5	official ACL Anthology PDF
agentdojo	downloaded_via_personal_chrome_cdp	https://proceedings.neurips.cc/paper_files/paper/2024/file/97091a5177d8dc64b1da8bf3e1f6fb54-Paper-Datasets_and_Benchmarks_Track.pdf	success	900328	26a3f0426ee1d533e4dd9f62d1343a7a1d231fe718cfaf3a362cc7de829ae913	official proceedings PDF
agentharm	downloaded_via_personal_chrome_cdp	https://proceedings.iclr.cc/paper_files/paper/2025/file/c493d23af93118975cdbc32cbe7323f5-Paper-Conference.pdf	success	936766	a319f6d5a5e7dd773e0ca1cef62c043e6045c7be6478bcc243815030bc6b9c7f	official proceedings PDF
st_webagentbench	downloaded_via_personal_chrome_cdp	https://openreview.net/pdf?id=MuCDzH0ctf	success	5094655	3ee56f95b39fb59a6a19c0c6a53638c1adea5e8366216ce1bb321cc9a4ae0f8d	accepted OpenReview record
ai_control	downloaded_via_personal_chrome_cdp	https://raw.githubusercontent.com/mlresearch/v235/main/assets/greenblatt24a/greenblatt24a.pdf	success	759508	21ff7e1fba042526de65b36c9973babd26b417c29d6d40f28f74e0970aa069a6	official PMLR asset
