# 🤖 bibliographic and local-artifact metadata; local paths are relative to /hdd1/sichanghe/paper_collection
id	title	authors	venue	year	evidence_class	official_url	pdf_path	text_path	pdf_sha256	pages
time_horizons	Measuring AI Ability to Complete Long Software Tasks	Thomas Kwa, Ben West, Joel Becker, et al.	NeurIPS	2025	accepted	https://neurips.cc/virtual/2025/poster/119302	Measuring AI Ability to Complete Long Software Tasks, Thomas Kwa, Ben West, Joel Becker, et al., NeurIPS, 2025.pdf	Measuring AI Ability to Complete Long Software Tasks, Thomas Kwa, Ben West, Joel Becker, et al., NeurIPS, 2025/Measuring AI Ability to Complete Long Software Tasks, Thomas Kwa, Ben West, Joel Becker, et al., NeurIPS, 2025.md	29216eb3af4daa417666757a462ab7c7b5f8c18c188ee5a56e258b04116211f7	45
tau_bench	tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains	Shunyu Yao, Noah Shinn, Pedram Razavi, Karthik Narasimhan	ICLR	2025	accepted	https://openreview.net/forum?id=roNSXZpUDN	tau-bench- A Benchmark for Tool-Agent-User Interaction in Real-World Domains, Shunyu Yao, Noah Shinn, Pedram Razavi, Karthik Narasimhan, ICLR, 2025.pdf	tau-bench- A Benchmark for Tool-Agent-User Interaction in Real-World Domains, Shunyu Yao, Noah Shinn, Pedram Razavi, Karthik Narasimhan, ICLR, 2025/tau-bench- A Benchmark for Tool-Agent-User Interaction in Real-World Domains, Shunyu Yao, Noah Shinn, Pedram Razavi, Karthik Narasimhan, ICLR, 2025.md	e2d45d573e1fce753ead1a44cc468ad386dd384e2668450d0a9c0e2c7920ada0	53
ultrahorizon	UltraHorizon: Benchmarking Agent Capabilities in Ultra Long-Horizon Scenarios	Haotian Luo, Huaisong Zhang, Xuelin Zhang, et al.	ICML	2026	accepted	https://openreview.net/forum?id=qRNtMWrTvo	UltraHorizon- Benchmarking Agent Capabilities in Ultra Long-Horizon Scenarios, Haotian Luo, Huaisong Zhang, Xuelin Zhang, et al., ICML, 2026.pdf	UltraHorizon- Benchmarking Agent Capabilities in Ultra Long-Horizon Scenarios, Haotian Luo, Huaisong Zhang, Xuelin Zhang, et al., ICML, 2026/UltraHorizon- Benchmarking Agent Capabilities in Ultra Long-Horizon Scenarios, Haotian Luo, Huaisong Zhang, Xuelin Zhang, et al., ICML, 2026.md	44c1b925ff4528f5a3f58c307519a192bf45954e7b7fa2a6ad0fa12510fc174f	53
agentcompany	TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks	Frank F. Xu, Yufan Song, Boxuan Li, et al.	NeurIPS	2025	accepted datasets and benchmarks	https://openreview.net/forum?id=LZnKNApvhG	TheAgentCompany- Benchmarking LLM Agents on Consequential Real World Tasks, Frank F. Xu, Yufan Song, Boxuan Li, et al., NeurIPS, 2025.pdf	TheAgentCompany- Benchmarking LLM Agents on Consequential Real World Tasks, Frank F. Xu, Yufan Song, Boxuan Li, et al., NeurIPS, 2025/TheAgentCompany- Benchmarking LLM Agents on Consequential Real World Tasks, Frank F. Xu, Yufan Song, Boxuan Li, et al., NeurIPS, 2025.md	9574c7c5d4f1592dd1a0c9615cb3c2f8bd130f18b2c2cde4d0bbace4e80ef620	24
swe_agent	SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering	John Yang, Carlos E. Jimenez, Alexander Wettig, et al.	NeurIPS	2024	accepted	https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html	SWE-agent- Agent-Computer Interfaces Enable Automated Software Engineering, John Yang, Carlos E. Jimenez, Alexander Wettig, et al., NeurIPS, 2024.pdf	SWE-agent- Agent-Computer Interfaces Enable Automated Software Engineering, John Yang, Carlos E. Jimenez, Alexander Wettig, et al., NeurIPS, 2024/SWE-agent- Agent-Computer Interfaces Enable Automated Software Engineering, John Yang, Carlos E. Jimenez, Alexander Wettig, et al., NeurIPS, 2024.md	0116614120ddfaa37e7c944b7205b4f05523a2415e11846081c08dd0d848ea05	125
swe_bench_pro	SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks?	Xiang Deng, Jeff Da, Edwin Pan, et al.	ICML	2026	accepted	https://openreview.net/forum?id=uEVTdoAbnK	SWE-Bench Pro- Can AI Agents Solve Long-Horizon Software Engineering Tasks, Xiang Deng, Jeff Da, Edwin Pan, et al., ICML, 2026.pdf	SWE-Bench Pro- Can AI Agents Solve Long-Horizon Software Engineering Tasks, Xiang Deng, Jeff Da, Edwin Pan, et al., ICML, 2026/SWE-Bench Pro- Can AI Agents Solve Long-Horizon Software Engineering Tasks, Xiang Deng, Jeff Da, Edwin Pan, et al., ICML, 2026.md	4a658f1b9193cd02494164cc6574cfe1869bb82fbdab861ff74cadd3bbc3ade8	18
swe_lancer	SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering?	Samuel Miserendino, Michele Wang, Tejal Patwardhan, Johannes Heidecke	ICML	2025	accepted	https://proceedings.mlr.press/v267/miserendino25a.html	SWE-Lancer- Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering, Samuel Miserendino, Michele Wang, Tejal Patwardhan, Johannes Heidecke, ICML, 2025.pdf	SWE-Lancer- Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering, Samuel Miserendino, Michele Wang, Tejal Patwardhan, Johannes Heidecke, ICML, 2025/SWE-Lancer- Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering, Samuel Miserendino, Michele Wang, Tejal Patwardhan, Johannes Heidecke, ICML, 2025.md	54edda990a407f1fe1e945018f1c2710d469e55077a0272d313b33da11cb65f9	39
utboost	UTBoost: Rigorous Evaluation of Coding Agents on SWE-Bench	Boxi Yu, Yuxuan Zhu, Pinjia He, Daniel Kang	ACL	2025	accepted main	https://aclanthology.org/2025.acl-long.189/	UTBoost- Rigorous Evaluation of Coding Agents on SWE-Bench, Boxi Yu, Yuxuan Zhu, Pinjia He, Daniel Kang, ACL, 2025.pdf	UTBoost- Rigorous Evaluation of Coding Agents on SWE-Bench, Boxi Yu, Yuxuan Zhu, Pinjia He, Daniel Kang, ACL, 2025/UTBoost- Rigorous Evaluation of Coding Agents on SWE-Bench, Boxi Yu, Yuxuan Zhu, Pinjia He, Daniel Kang, ACL, 2025.md	bfa10815a18a15d970f7c9fd1c66e8ece2c938cb2b3cb107ab452b8400e54fa7	13
osworld	OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments	Tianbao Xie, Danyang Zhang, Jixuan Chen, et al.	NeurIPS	2024	accepted datasets and benchmarks	https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d413e48f84dc61244b6be550f1cd8f5-Abstract-Datasets_and_Benchmarks_Track.html	OSWorld- Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments, Tianbao Xie, Danyang Zhang, Jixuan Chen, et al., NeurIPS, 2024.pdf	OSWorld- Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments, Tianbao Xie, Danyang Zhang, Jixuan Chen, et al., NeurIPS, 2024/OSWorld- Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments, Tianbao Xie, Danyang Zhang, Jixuan Chen, et al., NeurIPS, 2024.md	cabfb4bd4f45440946e7f1fbabe9a8c1751c9d17f62ec24101e62b8adf49f33f	55
workarena	WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks?	Alexandre Drouin, Maxime Gasse, Massimo Caccia, et al.	ICML	2024	accepted	https://proceedings.mlr.press/v235/drouin24a.html	WorkArena- How Capable Are Web Agents at Solving Common Knowledge Work Tasks, Alexandre Drouin, Maxime Gasse, Massimo Caccia, et al., ICML, 2024.pdf	WorkArena- How Capable Are Web Agents at Solving Common Knowledge Work Tasks, Alexandre Drouin, Maxime Gasse, Massimo Caccia, et al., ICML, 2024/WorkArena- How Capable Are Web Agents at Solving Common Knowledge Work Tasks, Alexandre Drouin, Maxime Gasse, Massimo Caccia, et al., ICML, 2024.md	0d3ab9c89e9a6f6227afcf4db2bbb5950847316aff9ce7d0e68608638a3b61a2	21
